Name	Redshift	Deltatheta	r _p	P.A.	F475W	F814W	Cat.	Classification	
		(arcsec)	(kpc)	(deg)	(mag)	(mag)	
J000514.20+702249.2	0.7^dagger	0.58	4.1	279.8	19.81/20.08	19.02/19.08	5	dual/lensed quasar	
J014859.18-553037.5	0.1^dagger	0.56	1.0	181.6	18.51/20.16	19.82/18.88	6	quasar+star	
J024134.91+780107.0	2.35^dagger	0.58	4.7	126.8	19.44/23.19	19.56/21.36	2	quasar+star	
J024628.63+692234.0	0.95^dagger	0.49	3.9	49.2	20.90/22.59	17.93/18.89	5	quasar+star	
J034828.66-401513.1	2.4^dagger	0.50	4.1	186.7	19.26/21.07	20.20/21.96	3	dual/lensed quasar	
J045528.99-445637.6	0.5^dagger	0.56	3.4	93.1	20.99/21.10/22.87	21.99/22.44/24.00	6	triple quasar ^d	
J045905.23-071407.1	0.25^dagger	0.63	2.5	154.6	21.21/21.98	22.34/22.39	5	dual quasar ^d	
J053620.23+503826.2	1.8^dagger	0.32	2.7	162.3	18.68/20.01	18.52/19.90	2	dual/lensed quasar	
J055455.69+511252.8	0.7^dagger	0.67	4.8	77.4	18.56/21.36	19.33/20.94	5	quasar+star	
J060734.57-064838.5	2.3^dagger	0.25	2.0	196.3	21.29/23.87	18.11/19.69	2	quasar+star	
J062903.08-753642.8	0.3^dagger	0.51	2.3	61.1	19.96/22.04/24.10	21.12/20.61/22.28	6	quasar+stars	
J074800.55+314647.4	1.407	0.53	4.5	171.1	20.13/20.54	21.04/20.58	4	dual/lensed quasar	
J074817.13+191003.0	3.096	0.40	3.1	52.1	18.93/20.92	19.78/19.83	1	quasar+star	
J074922.96+225511.7	2.166	0.46	3.8	56.1	19.18/20.78	20.02/21.39	1	dual quasar ^a	
J075350.57+424743.9	1.523	0.33	2.8	306.9	18.06/21.49	18.93/20.43	1	quasar+star	
J075824.26+145752.4	2.568	0.50	4.0	69.0	19.58/21.90/23.57	20.07/21.54/21.93	1	quasar+stars	
J081603.79+430521.1	0.586	0.72	4.8	275.3	20.61/22.34	21.75/20.65	4	quasar+star ^c	
J082341.08+241805.6	1.811	0.64	5.4	183.2	18.19/18.58	18.54/18.86	4	dual/lensed quasar	
J084129.77+482548.4	2.949	0.46	3.5	132.0	19.48/19.81	20.04/20.61	1	dual quasar ^a	
J090408.66+333205.2	1.103	0.30	2.5	104.2	18.65/20.69	19.75/20.08	1	quasar+star	
J090501.12+585902.5	2.386	0.61	5.0	228.0	18.62/22.87	19.72/21.36	1	quasar+star	
J091826.08+351243.1	1.521	0.18	1.6	260.3	19.13/21.92	19.75/20.10	1	quasar+star	
J091938.93+621951.1	1.270	0.69	5.7	333.3	19.11/22.61	19.65/20.39	4	quasar+star	
J094007.41+334609.5	1.784	0.74	6.2	239.2	19.81/20.89	20.31/20.07	4	quasar+star	
J105929.04-503739.5	0.25^dagger	0.54	2.1	223.2	19.00/22.62	19.45/21.20	3	quasar+star	
J122734.48-491202.5	0.25^dagger	0.50	1.9	301.8	20.71/21.28	20.74/20.89	6	quasar+star	
J131416.01-491218.2	2.29	0.52	4.2	160.5	19.38/20.93/24.26	20.13/19.65/22.27	6	quasar+stars ^b	
J161349.51-264432.5	1.1^dagger	0.28	2.3	250.5	20.02/23.19	20.78/21.67	2	quasar+star	
J164818.07+415550.1	2.393	0.44	3.5	39.9	18.40/21.02	19.44/21.79	1	dual/lensed quasar	
J164941.29+081233.5	1.4^dagger	0.59	5.0	1.9	19.07/19.73	19.55/20.26	5	dual/lensed quasar	
J171139.97-161147.9	0.75^dagger	0.67	4.9	128.6	20.69/20.99/24.87	20.34/20.76/22.66	5	dual/lensed quasar+star	
J173222.88-133535.2	0.292	0.72	3.2	329.0	19.98/21.37	19.43/21.08	2	quasar+star ^b	
J175543.18+422924.2	1.95^dagger	0.59	5.0	12.0	17.72/21.85	18.57/20.86	5	quasar+star	
J180409.55+323029.5	0.504	0.68	3.6	181.2	19.09/20.68	20.23/20.15	5	quasar+star ^b	
J184520.85-232227.6	0.8^dagger	0.66	5.0	170.4	19.51/20.04	19.88/20.02	5	dual/lensed quasar	
J185226.10+483315.0	1.480	0.62	5.2	190.6	18.94/22.49	19.80/21.65	2	quasar+star ^b	
J185728.65+704811.3	1.230	0.61	5.0	160.4	19.87/23.15	20.47/20.27	5	quasar+star ^b	
J193718.81-182132.2	1.2^dagger	0.62	5.2	188.4	20.25/20.59	21.09/20.98	5	dual/lensed quasar	
J194349.74-023819.1	1.6^dagger	0.66	5.6	174.7	19.25/21.04	19.79/20.57	5	quasar+star	
J204848.00+625858.3	2.5^dagger	0.62	5.0	297.1	20.33/20.87	20.58/20.94	5	dual/lensed quasar	
J205000.01-294721.7	1.75^dagger	0.65	5.5	280.4	19.18/20.64	19.59/20.67	5	dual/lensed quasar	
J212243.01-002653.8	1.975	0.52	4.4	313.8	19.20/20.38	19.96/20.48	4	dual/lensed quasar	
J215444.04+285635.3	0.723	0.68	4.9	193.0	19.53/20.89	20.90/20.98	4	quasar+star	
J232412.70+791752.3	0.4^dagger	0.49	2.7	310.5	17.58/18.93	17.55/19.57	2	dual/lensed quasar	
